rollno,name,year,semester,matrices and calculus,engineering chemistry,programming for problem solving,basic electrical engineering,computer aided engineering graphics,elements of computer science & engineering,engineering chemistry laboratory,programming for problem solving laboratory,basic electrical engineering laboratory,semester_gpa,calculated_cgpa,ordinary differential equations and vector calculus,applied physics,engineering workshop,english for skill enhancement,electronic devices and circuits,python programming laboratory,applied physics laboratory,english language and communication skills laboratory,it workshop,environmental science,digital electronics,data structures,computer oriented statistical methods,computer organization and architecture,object oriented programming through java,data structures lab,object oriented programming through java lab,data visualization- r programming/ power bi,gender sensitization lab,discrete mathematics,business economics & financial analysis,operating systems,database management systems,software engineering,operating systems lab,database management systems lab,real-time research project/ societal related project,node js/ react js/ django,constitution of india,design and analysis of algorithms,computer networks,devops,professional elective-i,professional elective -ii,computer networks lab,devops lab,advanced english communication skills lab,ui design- flutter,intellectual property rights,machine learning,formal languages and automata theory,artificial intelligence,professional elective – iii,open elective-i,machine learning lab,artificial intelligence laboratory,professional elective-iii lab,industrial oriented mini project/ internship/ skill development course (big data-spark),cryptography and network security,compiler design,professional elective -iv,professional elective -v,open elective - ii,cryptography and network security lab,compiler design lab,project stage - i,organizational behavior,professional elective – vi,open elective – iii,project stage – ii including seminar,status
226F1A0529,Aarav,1,1,91.0,84.0,93.0,80.0,89.0,96.0,86.0,89.0,95.0,9.45,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,1,1,82.0,85.0,91.0,96.0,95.0,84.0,88.0,100.0,85.0,9.45,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,1,1,93.0,93.0,88.0,90.0,100.0,94.0,98.0,97.0,93.0,9.85,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,1,1,67.0,66.0,68.0,68.0,66.0,71.0,74.0,66.0,73.0,7.15,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,1,1,79.0,74.0,81.0,64.0,72.0,70.0,74.0,70.0,67.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,1,1,68.0,65.0,70.0,66.0,73.0,77.0,72.0,68.0,71.0,7.45,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,1,1,86.0,81.0,86.0,76.0,82.0,84.0,77.0,81.0,80.0,8.85,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,1,1,89.0,81.0,83.0,80.0,92.0,91.0,79.0,80.0,80.0,9.15,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,1,1,91.0,76.0,87.0,77.0,83.0,86.0,85.0,93.0,87.0,8.95,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,1,1,91.0,91.0,90.0,95.0,90.0,89.0,96.0,92.0,100.0,9.95,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,1,1,95.0,95.0,91.0,96.0,94.0,94.0,81.0,93.0,87.0,9.9,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,1,1,83.0,82.0,82.0,93.0,92.0,90.0,91.0,80.0,90.0,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,1,1,88.0,95.0,88.0,91.0,82.0,87.0,97.0,82.0,94.0,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,1,1,74.0,80.0,78.0,68.0,75.0,73.0,74.0,82.0,77.0,8.15,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,1,1,81.0,81.0,86.0,82.0,90.0,89.0,89.0,81.0,86.0,9.15,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,1,1,89.0,90.0,88.0,89.0,89.0,89.0,84.0,83.0,87.0,9.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,1,1,84.0,88.0,87.0,76.0,85.0,82.0,84.0,74.0,86.0,8.85,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,1,1,85.0,87.0,85.0,85.0,80.0,90.0,86.0,100.0,88.0,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,1,1,65.0,56.0,62.0,67.0,63.0,63.0,60.0,66.0,61.0,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,1,1,74.0,57.0,69.0,60.0,56.0,62.0,70.0,69.0,68.0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
226F1A0529,Aarav,1,2,,,,,,,,,,9.85,9.65,91.0,92.0,93.0,93.0,85.0,93.0,91.0,89.0,100.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,1,2,,,,,,,,,,7.53,8.49,72.0,79.0,67.0,68.0,63.0,66.0,77.0,66.0,70.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,1,2,,,,,,,,,,8.62,9.24,83.0,84.0,86.0,64.0,76.0,81.0,76.0,80.0,80.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,1,2,,,,,,,,,,7.08,7.11,65.0,69.0,63.0,67.0,68.0,65.0,71.0,67.0,64.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,1,2,,,,,,,,,,9.88,8.94,94.0,96.0,90.0,97.0,99.0,98.0,88.0,86.0,97.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,1,2,,,,,,,,,,9.75,8.6,88.0,98.0,93.0,93.0,100.0,95.0,92.0,85.0,90.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,1,2,,,,,,,,,,7.55,8.2,71.0,64.0,65.0,66.0,80.0,75.0,67.0,71.0,65.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,1,2,,,,,,,,,,7.65,8.4,76.0,71.0,72.0,61.0,64.0,68.0,75.0,72.0,68.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,1,2,,,,,,,,,,8.55,8.75,83.0,73.0,87.0,82.0,71.0,79.0,85.0,84.0,74.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,1,2,,,,,,,,,,9.38,9.66,93.0,89.0,95.0,84.0,89.0,83.0,85.0,89.0,99.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,1,2,,,,,,,,,,7.85,8.88,69.0,76.0,72.0,72.0,75.0,75.0,75.0,84.0,72.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,1,2,,,,,,,,,,8.47,8.94,83.0,88.0,77.0,77.0,72.0,77.0,84.0,78.0,77.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,1,2,,,,,,,,,,7.75,8.57,60.0,73.0,71.0,76.0,76.0,69.0,74.0,72.0,84.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,1,2,,,,,,,,,,8.78,8.46,88.0,80.0,84.0,74.0,86.0,82.0,79.0,85.0,73.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,1,2,,,,,,,,,,7.1,8.12,67.0,73.0,62.0,56.0,69.0,66.0,69.0,64.0,66.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,1,2,,,,,,,,,,8.68,8.94,82.0,76.0,77.0,82.0,77.0,82.0,80.0,93.0,90.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,1,2,,,,,,,,,,8.78,8.81,83.0,77.0,91.0,88.0,80.0,77.0,85.0,86.0,73.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,1,2,,,,,,,,,,8.18,8.64,75.0,72.0,81.0,70.0,70.0,81.0,74.0,75.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,1,2,,,,,,,,,,6.85,6.83,59.0,70.0,50.0,66.0,64.0,64.0,56.0,70.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,1,2,,,,,,,,,,9.93,8.41,95.0,90.0,90.0,95.0,91.0,93.0,84.0,93.0,90.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
226F1A0529,Aarav,2,1,,,,,,,,,,7.05,8.78,,,,,,,,,,,68.0,62.0,62.0,68.0,64.0,65.0,66.0,73.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,2,1,,,,,,,,,,7.55,8.18,,,,,,,,,,,69.0,67.0,72.0,71.0,70.0,65.0,64.0,72.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,2,1,,,,,,,,,,9.65,9.38,,,,,,,,,,,94.0,100.0,88.0,87.0,96.0,96.0,92.0,97.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,2,1,,,,,,,,,,9.15,7.79,,,,,,,,,,,84.0,91.0,84.0,84.0,89.0,84.0,85.0,88.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,2,1,,,,,,,,,,9.35,9.07,,,,,,,,,,,93.0,90.0,89.0,85.0,84.0,88.0,82.0,95.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,2,1,,,,,,,,,,9.8,9.0,,,,,,,,,,,91.0,93.0,95.0,95.0,88.0,90.0,96.0,83.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,2,1,,,,,,,,,,9.72,8.71,,,,,,,,,,,98.0,88.0,94.0,92.0,91.0,99.0,89.0,88.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,2,1,,,,,,,,,,8.53,8.44,,,,,,,,,,,80.0,86.0,78.0,75.0,81.0,76.0,84.0,74.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,2,1,,,,,,,,,,9.15,8.88,,,,,,,,,,,91.0,94.0,82.0,78.0,82.0,85.0,87.0,87.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,2,1,,,,,,,,,,8.55,9.29,,,,,,,,,,,79.0,86.0,84.0,81.0,77.0,76.0,73.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,2,1,,,,,,,,,,7.85,8.53,,,,,,,,,,,65.0,81.0,76.0,74.0,73.0,69.0,63.0,70.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,2,1,,,,,,,,,,8.45,8.78,,,,,,,,,,,81.0,83.0,76.0,80.0,70.0,79.0,77.0,71.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,2,1,,,,,,,,,,9.15,8.77,,,,,,,,,,,78.0,86.0,87.0,92.0,94.0,90.0,79.0,83.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,2,1,,,,,,,,,,9.57,8.83,,,,,,,,,,,87.0,84.0,94.0,92.0,90.0,90.0,88.0,85.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,2,1,,,,,,,,,,7.0,7.75,,,,,,,,,,,68.0,67.0,66.0,65.0,69.0,69.0,60.0,68.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,2,1,,,,,,,,,,7.58,8.48,,,,,,,,,,,73.0,71.0,67.0,77.0,66.0,72.0,67.0,70.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,2,1,,,,,,,,,,9.78,9.13,,,,,,,,,,,100.0,95.0,97.0,87.0,100.0,96.0,89.0,92.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,2,1,,,,,,,,,,7.85,8.38,,,,,,,,,,,75.0,77.0,74.0,69.0,75.0,73.0,72.0,78.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,2,1,,,,,,,,,,8.62,7.42,,,,,,,,,,,78.0,79.0,86.0,84.0,81.0,77.0,85.0,84.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,2,1,,,,,,,,,,7.47,8.1,,,,,,,,,,,68.0,65.0,71.0,73.0,66.0,70.0,67.0,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
226F1A0529,Aarav,2,2,,,,,,,,,,7.1,8.36,,,,,,,,,,,,,,,,,,,,64.0,59.0,60.0,69.0,74.0,65.0,72.0,63.0,72.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,2,2,,,,,,,,,,7.8,8.08,,,,,,,,,,,,,,,,,,,,80.0,68.0,79.0,65.0,75.0,77.0,70.0,71.0,63.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,2,2,,,,,,,,,,7.6,8.93,,,,,,,,,,,,,,,,,,,,64.0,67.0,76.0,78.0,68.0,75.0,76.0,87.0,68.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,2,2,,,,,,,,,,9.3,8.17,,,,,,,,,,,,,,,,,,,,91.0,83.0,93.0,80.0,86.0,73.0,83.0,81.0,92.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,2,2,,,,,,,,,,9.55,9.19,,,,,,,,,,,,,,,,,,,,84.0,91.0,93.0,89.0,91.0,94.0,93.0,89.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,2,2,,,,,,,,,,8.2,8.8,,,,,,,,,,,,,,,,,,,,73.0,83.0,77.0,75.0,78.0,76.0,76.0,79.0,81.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,2,2,,,,,,,,,,8.3,8.61,,,,,,,,,,,,,,,,,,,,72.0,72.0,83.0,73.0,79.0,78.0,88.0,85.0,72.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,2,2,,,,,,,,,,9.6,8.73,,,,,,,,,,,,,,,,,,,,89.0,92.0,93.0,90.0,85.0,97.0,81.0,90.0,83.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,2,2,,,,,,,,,,7.95,8.65,,,,,,,,,,,,,,,,,,,,73.0,86.0,79.0,69.0,70.0,79.0,69.0,71.0,75.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,2,2,,,,,,,,,,9.25,9.28,,,,,,,,,,,,,,,,,,,,89.0,86.0,90.0,84.0,90.0,78.0,81.0,88.0,87.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,2,2,,,,,,,,,,10.0,8.9,,,,,,,,,,,,,,,,,,,,98.0,97.0,94.0,92.0,100.0,97.0,100.0,95.0,91.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,2,2,,,,,,,,,,7.0,8.33,,,,,,,,,,,,,,,,,,,,63.0,54.0,69.0,71.0,67.0,63.0,69.0,68.0,62.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,2,2,,,,,,,,,,9.7,9.0,,,,,,,,,,,,,,,,,,,,89.0,99.0,96.0,89.0,99.0,94.0,98.0,100.0,95.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,2,2,,,,,,,,,,8.75,8.81,,,,,,,,,,,,,,,,,,,,83.0,77.0,83.0,76.0,80.0,87.0,90.0,87.0,84.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,2,2,,,,,,,,,,9.05,8.07,,,,,,,,,,,,,,,,,,,,81.0,83.0,85.0,89.0,83.0,83.0,93.0,83.0,80.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,2,2,,,,,,,,,,7.35,8.2,,,,,,,,,,,,,,,,,,,,59.0,70.0,62.0,70.0,71.0,67.0,67.0,60.0,77.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,2,2,,,,,,,,,,8.4,8.95,,,,,,,,,,,,,,,,,,,,85.0,73.0,78.0,81.0,71.0,75.0,81.0,77.0,82.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,2,2,,,,,,,,,,9.5,8.66,,,,,,,,,,,,,,,,,,,,88.0,97.0,85.0,94.0,81.0,98.0,85.0,91.0,90.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,2,2,,,,,,,,,,7.7,7.49,,,,,,,,,,,,,,,,,,,,77.0,67.0,73.0,69.0,71.0,78.0,72.0,75.0,75.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,2,2,,,,,,,,,,9.95,8.56,,,,,,,,,,,,,,,,,,,,92.0,95.0,99.0,97.0,94.0,85.0,95.0,96.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1000,Aarav,3,1,,,,,,,,,,9.5,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,94.0,88.0,89.0,89.0,89.0,92.0,95.0,92.0,98.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,3,1,,,,,,,,,,9.6,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,90.0,93.0,87.0,94.0,86.0,93.0,98.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,3,1,,,,,,,,,,8.85,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,96.0,76.0,87.0,79.0,92.0,71.0,87.0,87.0,89.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,3,1,,,,,,,,,,9.75,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,97.0,92.0,88.0,90.0,89.0,87.0,92.0,93.0,95.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,3,1,,,,,,,,,,8.2,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,73.0,81.0,79.0,79.0,74.0,83.0,75.0,75.0,66.0,,,,,,,,,,,,,,,,,,,,,,Present
